,Chromosome,TSS,TTS,Description,PromLenJing,PromTypes,name,PromLenSagie,opn_score
0,1.0,151166.0,147594.0,Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding,741.0,1.0,TFC3,700.0,0.0838709882694983
1,1.0,143707.0,147531.0,Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif,802.0,2.0,VPS8,231.0,-1.022741846000069
2,1.0,142174.0,143160.0,"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site",721.0,1.0,EFB1,660.0,-0.4038792394320492
3,1.0,140760.0,141407.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C",,,YAL004W,,
4,1.0,141431.0,139503.0,"ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall",792.0,1.0,SSA1,660.0,1.7196483130203657
5,1.0,138345.0,137698.0,"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles",772.0,1.0,ERP2,700.0,-1.2761716812328023
6,1.0,136914.0,137510.0,Mitochondrial protein of unknown function,750.0,2.0,FUN14,110.0,-0.3174942122444779
7,1.0,135854.0,136633.0,"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation",732.0,2.0,SPO7,121.0,-0.4915709796872818
8,1.0,135665.0,134184.0,"Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins",739.0,2.0,MDM10,121.0,-0.4134066988679254
9,1.0,132199.0,134076.0,"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",704.0,2.0,SWC3,113.0,-1.5562730013391466
10,1.0,130799.0,131983.0,"Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine",778.0,2.0,CYS3,154.0,-1.453054533239266
11,1.0,129270.0,130487.0,"Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation",734.0,2.0,DEP1,169.0,-2.3077341222410954
12,1.0,129019.0,128252.0,Endosomal SNARE related to mammalian syntaxin 8,748.0,2.0,SYN8,169.0,-2.9839265557149446
13,1.0,128102.0,126903.0,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress,700.0,2.0,NTG1,44.0,-0.0392953590052718
14,1.0,124879.0,126786.0,"Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III",787.0,2.0,TPD3,340.0,-1.4338409390215698
15,1.0,120225.0,124295.0,One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status,1063.0,2.0,PSK1,700.0,-1.737211547636961
16,1.0,119541.0,118564.0,Putative protein of unknown function,700.0,2.0,YAL018C,,
17,1.0,114919.0,118314.0,"Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies",810.0,2.0,FUN30,176.0,-1.9054881483638375
18,1.0,114615.0,113614.0,"Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle",719.0,2.0,ATS1,176.0,-2.0065969202529947
19,1.0,113359.0,110846.0,"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening",752.0,2.0,CCR4,121.0,-1.658448624821709
20,1.0,110430.0,108877.0,Nucleoside transporter with broad nucleoside selectivity; localized to intracellular membranes,716.0,2.0,FUN26,170.0,-1.7331625328083409
21,1.0,108551.0,106272.0,"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5; target for new antifungal",789.0,2.0,PMT2,195.0,-1.405152390601999
22,1.0,105872.0,101565.0,Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures,809.0,2.0,LTE1,171.0,-2.0176061400269827
23,1.0,101145.0,100225.0,"Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus",723.0,2.0,MAK16,314.0,-0.9069210524893636
24,1.0,99697.0,95630.0,Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease,786.0,2.0,DRS2,241.0,-1.1673640410880806
25,1.0,94687.0,95472.0,Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing; green fluorescent protein (GFP)-fusion protein localizes to the nucleus,781.0,2.0,SAW1,77.0,-0.6658637596838259
26,1.0,92900.0,94486.0,"Tail-anchored ER membrane protein, interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate",748.0,2.0,FRT2,314.0,-1.1987760128014635
27,1.0,92270.0,87855.0,"One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p",948.0,2.0,MYO4,314.0,-0.8241393690603882
28,1.0,87286.0,87752.0,Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins,723.0,2.0,SNC1,186.0,-3.528101250403539
29,1.0,87031.0,84749.0,Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate,745.0,2.0,GIP4,186.0,-2.5659090888645286
30,1.0,84474.0,83335.0,Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene,720.0,2.0,PRP45,170.0,-1.5570727848216208
31,1.0,82706.0,83227.0,"Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends",708.0,1.0,POP5,116.0,-0.0682746647275918
32,1.0,81951.0,80710.0,Non-essential protein of unknown function; expression induced in response to heat stress,700.0,1.0,FUN19,116.0,
33,1.0,76427.0,79435.0,"GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2",735.0,2.0,FUN12,1.0,-3.0724622751063926
34,1.0,76152.0,75043.0,"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid",735.0,2.0,RBG1,216.0,-0.9866923314742512
35,1.0,74020.0,74823.0,Putative protein of unknown function,,,YAL037W,1.0,
36,1.0,71786.0,73288.0,"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration",1200.0,1.0,CDC19,700.0,-0.2277256357753083
37,1.0,69525.0,68716.0,"Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)",774.0,1.0,CYC3,700.0,-0.7526726636215297
38,1.0,67520.0,65778.0,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis",1195.0,1.0,CLN3,700.0,0.3355992410703186
39,1.0,62840.0,65404.0,"Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing",764.0,2.0,CDC24,122.0,-0.554525300238712
40,1.0,61316.0,62563.0,"Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport",740.0,2.0,ERV46,222.0,-2.342970947619386
41,1.0,61052.0,58695.0,"Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII",722.0,2.0,PTA1,222.0,-1.8396829433936377
42,1.0,58462.0,57950.0,"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",712.0,2.0,GCV3,148.0,-1.6563099290635863
43,1.0,57796.0,57488.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A",,,YAL045C,,
44,1.0,57385.0,57029.0,Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss,714.0,2.0,AIM1,102.0,0.0986528145252174
45,1.0,56857.0,54989.0,"Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization",729.0,2.0,SPC72,21.0,-0.1372470463053074
46,1.0,54789.0,52801.0,"Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death",719.0,2.0,GEM1,144.0,-0.5046105197720845
47,1.0,52595.0,51855.0,Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor,765.0,2.0,AIM2,700.0,-1.686098604990768
48,1.0,48564.0,51707.0,"Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis",752.0,2.0,OAF1,212.0,-1.3250100403988236
49,1.0,45899.0,48250.0,Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance,840.0,1.0,FLC2,691.0,0.9395057803243017
50,1.0,45022.0,42881.0,"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetlyation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",746.0,1.0,ACS1,691.0,2.318137464510356
51,1.0,42177.0,42719.0,"Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation",712.0,2.0,PEX22,171.0,-1.6996028941706325
52,1.0,39259.0,41901.0,"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p",745.0,2.0,GPB2,49.0,-2.513636733428801
53,1.0,37464.0,38972.0,"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast",752.0,2.0,CNE1,83.0,-0.283597226125365
54,1.0,36509.0,37147.0,Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm,700.0,2.0,ECM1,120.0,-1.7678405229769831
55,1.0,35155.0,36303.0,"NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source",753.0,1.0,BDH1,190.0,0.0421671953079938
56,1.0,33448.0,34701.0,Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3,789.0,1.0,BDH2,344.0,
57,1.0,31567.0,32940.0,"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources",779.0,1.0,GDH3,700.0,0.5276750831564847
58,1.0,27968.0,24000.0,"Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation",1200.0,1.0,FLO9,,
59,1.0,21566.0,21850.0,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments",1200.0,1.0,YAL064W,,
60,1.0,11951.0,11565.0,Putative protein of unknown function; has homology to FLO1; possible pseudogene,,,YAL065C,,
61,1.0,10091.0,10399.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",,,YAL066W,,
62,1.0,9016.0,7235.0,"Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide",1200.0,1.0,SEO1,700.0,-0.4450726212636864
63,1.0,2169.0,1807.0,"Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions",1200.0,1.0,PAU8,,
64,1.0,335.0,649.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",,,YAL069W,,
65,1.0,152257.0,153876.0,"Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1",743.0,1.0,NUP60,700.0,-1.8414077818494663
66,1.0,155005.0,156285.0,"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7",778.0,2.0,SWD1,174.0,-1.9569881922421573
67,1.0,158619.0,156754.0,"Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination",763.0,2.0,RFA1,190.0,-2.2867455131152497
68,1.0,158966.0,159793.0,"Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease",801.0,2.0,SEN34,190.0,-2.1376792446332136
69,1.0,164187.0,160597.0,Retrotransposon TYA Gag and TYB Pol genes; in YARCTY1-1 TYB is mutant and probably non-functional,700.0,6.0,YAR009C,,
70,1.0,165866.0,164544.0,Retrotransposon TYA Gag gene co-transcribed with TYB Pol; in YARCTY1-1 TYB is mutant and probably non-functional,700.0,1.0,YAR010C,,
71,1.0,168871.0,166742.0,"Protein involved in bud-site selection, Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern",850.0,2.0,BUD14,256.0,-1.1528570063177377
72,1.0,169375.0,170295.0,"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine",809.0,2.0,ADE1,256.0,-0.9039563898889558
73,1.0,171703.0,170396.0,Nonessential protein kinase with unknown cellular role,716.0,1.0,KIN3,446.0,-1.5291562952988205
74,1.0,175135.0,172211.0,Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II,1021.0,1.0,CDC15,700.0,-0.9610956786938224
75,1.0,177023.0,176856.0,"Member of the seripauperin multigene family, active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme",1200.0,1.0,PAU7,,
76,1.0,179820.0,179281.0,"Putative integral membrane protein, member of DUP240 gene family",1200.0,1.0,YAR023C,700.0,
77,1.0,183770.0,184477.0,Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family,782.0,1.0,UIP3,700.0,-1.4334488455649872
78,1.0,184892.0,185596.0,"Putative integral membrane protein, member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS",756.0,2.0,YAR028W,193.0,
79,1.0,186321.0,186545.0,Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern,725.0,1.0,YAR029W,5.0,
80,1.0,186853.0,186512.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9",,,YAR030C,,
81,1.0,186836.0,187732.0,"Pheromone-regulated protein with 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family",700.0,1.0,PRM9,,
82,1.0,188107.0,188811.0,"Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles",756.0,2.0,MST28,700.0,-0.6062830459576087
83,1.0,190193.0,192256.0,"Outer mitochondrial carnitine acetyltransferase, minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated",700.0,1.0,YAT1,700.0,
84,1.0,192619.0,196185.0,Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction,733.0,2.0,SWH1,223.0,-0.4434491813772023
85,,,,[],,,[],,
86,1.0,201787.0,201467.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",,,YAR047C,,
87,1.0,203403.0,208016.0,"Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p",1200.0,1.0,FLO1,,
88,1.0,208367.0,208663.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",,,YAR053W,,
89,1.0,217492.0,217157.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",,,YAR060C,,
90,1.0,218140.0,218343.0,"Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation",1200.0,1.0,YAR061W,,
91,1.0,218549.0,219145.0,"Pseudogene with similarity to Flo1p, which is a lectin-like protein involved in flocculation",700.0,1.0,YAR062W,,
92,1.0,220198.0,220497.0,Putative protein of unknown function,1053.0,1.0,YAR064W,,
93,1.0,221049.0,221660.0,Putative GPI protein,776.0,1.0,YAR066W,,
94,1.0,222406.0,222891.0,Fungal-specific protein of unknown function; induced in respiratory-deficient cells,746.0,1.0,YAR068W,,
95,1.0,224304.0,224011.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",,,YAR069C,,
96,1.0,224862.0,224563.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",,,YAR070C,,
97,1.0,225460.0,226863.0,"One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2",1200.0,1.0,PHO11,,
98,1.0,227742.0,228953.0,"Nonfunctional protein with homology to IMP dehydrogenase; probable pseudogene, located close to the telomere; is not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae",,,IMD1,,
99,1.0,228844.0,229317.0,Non-functional protein with homology IMP dehydrogenase; YAR073W/IMD1 and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae.,,,YAR075W,,
100,2.0,237467.0,237153.0,"Non-essential protein of unknown function, likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis",736.0,1.0,ECM15,700.0,-1.0733975746481867
101,2.0,236492.0,236887.0,"Histone H2B, core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation, meiotic DSB formation and H3 methylation",723.0,1.0,HTB2,650.0,1.3484905002260863
102,2.0,235792.0,235394.0,"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p",731.0,1.0,HTA2,650.0,1.4543199373801734
103,2.0,227636.0,235117.0,"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA",811.0,1.0,UTP20,700.0,-2.1809282058207886
104,2.0,217470.0,220400.0,"Transcriptional activator of the pleiotropic drug resistance network, regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting sites known as PDREs (PDR responsive elements)",762.0,2.0,PDR3,264.0,0.2700598522235466
105,2.0,217129.0,216587.0,"Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions",710.0,2.0,LDB7,264.0,-1.885370156181275
106,2.0,216366.0,212632.0,Cytoskeletal protein binding protein required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains,752.0,2.0,SLA1,700.0,-0.8504818223590132
107,2.0,209653.0,212175.0,"Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation, heterochromatic gene silencing, and formation of functional kinetochores",767.0,2.0,HIR1,248.0,-0.6076034488426698
108,2.0,207194.0,209224.0,Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; similar to Alk1p and to mammalian haspins,739.0,2.0,ALK2,200.0,-2.319345587809029
109,2.0,206949.0,206107.0,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles,700.0,2.0,YBL010C,200.0,
110,2.0,203538.0,205817.0,"Glycerol 3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase of the glycerolipid biosynthesis pathway, prefers 16-carbon fatty acids, similar to Gpt2p, gene is constitutively transcribed",801.0,2.0,SCT1,700.0,-0.6325688146902833
111,2.0,203807.0,203406.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",,,YBL012C,,
112,2.0,202056.0,203261.0,"Methionyl-tRNA formyltransferase, catalyzes the formylation of initiator Met-tRNA in mitochondria; potential Cdc28p substrate",755.0,2.0,FMT1,235.0,-1.8305427783641672
113,2.0,201748.0,199064.0,"Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p",729.0,2.0,RRN6,235.0,-2.2182460360982263
114,2.0,194122.0,195702.0,"Protein with CoA transferase activity, particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth",791.0,2.0,ACH1,700.0,2.121797653410807
115,2.0,192451.0,193512.0,"Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its degradation",754.0,1.0,FUS3,,-0.6978753255417764
116,2.0,191583.0,186844.0,Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments,895.0,1.0,PEP1,700.0,-1.6913428356229554
